c1,c2,c26,c27,c28,c29,c30,c31,c32,c33,c39,c139,c142,c143,c155,c157,c158,c160,c161,c162,c163,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c19,c20,c21,c22,c23,c34,c35,c36,c52,c241
44286,2,494.0012781,104.446535,35.66690167,289.4038274,14.35471989,86.39957874,50.2003855,-68.28932292,0.550597218,13.76341795,53.93957994,36.00001526,15.2,29,23.2,840,450,200,100,2.273267777,19.56139125,8.232091123,0.565744813,58.43459771,11.28025693,35.5532175,0,20.76060934,34.71483305,13.76341795,9.132905514,10.46952174,6.515031018,43.01725644,0.172539153,1.352234757,0.049993102,12.32082864,2.084763553
44287,2,493.6855023,104.5162267,36.30674842,288.688306,14.37024106,87.33149196,50.2156336,-68.31280867,0.551531419,14.02434778,54.79474121,37.19517368,15.2,29,23.2,840,450,200,100,2.272365745,19.55849151,8.457533978,0.573346029,58.00936017,11.30565168,36.41327713,0.001477604,20.92423453,35.02765994,14.02434778,9.433339101,11.52642488,5.997297456,42.67295262,0.181561,1.35670288,0.049984789,11.4855778,2.131349838
44288,2,493.1071935,104.5136794,37.02834678,287.9995877,14.36871748,87.56450754,50.33501337,-68.3991496,0.550816167,14.52353146,55.20089599,37.99998474,15.2,29,23.2,840,450,200,100,2.282076886,19.58894383,8.67763524,0.581241421,58.32130281,11.40277564,36.63825264,0,21.0439454,34.43550313,14.52353146,9.238159632,11.76014473,5.948947038,42.4178032,0.195623763,1.355273743,0.050011546,11.55586687,2.136318092
44289,2,493.4025027,104.551,37.0889476,288.3608861,14.39258445,87.68504277,50.41319072,-68.36949286,0.550793877,14.43257488,55.27662604,38.13736155,15.2,29,23.2,840,450,200,100,2.270629557,19.53298037,8.925024035,0.585744117,57.68733743,11.29276482,36.7369078,0,21.31043137,35.24970732,14.43257488,9.099785436,11.81722311,5.785786507,42.18043301,0.190629266,1.361659325,0.049990338,11.40157957,2.162935506
44290,2,494.1112202,104.5168526,37.2200487,289.8001008,14.55119968,87.72940159,50.56616925,-68.15916813,0.551301457,14.36830567,55.38745042,38.99996948,15.2,29,23.2,840,450,200,100,2.283370117,19.5270742,9.117875156,0.582255178,57.21964456,11.19276112,36.79854265,0,21.3773142,35.48940981,14.36830567,6.694028902,9.718355072,4.326501423,42.21894733,0.190796802,1.355311789,0.050005565,11.00300764,2.183680994
44291,2,490.7616007,104.4703214,38.06796448,286.2284025,14.43271324,86.04306018,50.4652946,-68.35221994,0.549927031,14.03638768,54.80620133,38.99996948,15.2,29,23.2,840,450,200,100,2.180264907,19.5869201,8.950414604,0.582794327,57.06133453,11.41424768,36.49104467,0,21.61796974,35.44017622,14.03638768,2.280817249,7.468668966,2.071183932,42.10784895,0.256975959,1.352997314,0.049984279,11.34010227,2.175045952
44292,2,493.9410027,104.4750984,38.1076802,289.1425268,14.46128722,85.61911755,50.67212451,-68.26794684,0.551092064,13.8735048,54.76914084,38.99996948,15.2,29,23.2,840,450,200,100,2.042501278,19.6065979,9.449837683,0.592427337,57.1563135,11.4013118,35.93802567,0,20.99982314,35.0946254,13.8735048,4.429409907,7.598078955,0.624655592,42.50451478,0.17233445,1.351840806,0.050010985,11.48409725,2.164709201
44293,2,493.7844465,104.4703214,38.27886829,289.2999682,14.46810075,84.46846255,50.86698864,-68.14763413,0.550005157,13.47242546,54.3561344,38.99996948,15.2,29,23.2,840,450,200,100,2.030492922,19.61484656,8.790066106,0.572795738,56.45432621,11.441226,35.57334835,0,20.83244906,35.02577454,13.47242546,4.748215605,7.641107516,0.629271312,43.18542102,0.167690588,1.347511057,0.049992101,11.65742114,2.174276784
44294,2,494.2329123,104.4412105,38.62574744,289.3605131,14.40809521,83.90534329,51.18807624,-67.96984716,0.549990788,12.49835251,54.26227443,38.99996948,15.2,29,23.2,840,450,200,100,2.028038329,19.63536992,8.3561655,0.570785554,57.09576731,11.65840926,35.55501843,0,20.40922257,34.22937804,12.49835251,3.883907558,7.6489621,0.865590712,44.88339336,0.175383209,1.352094627,0.050002509,11.8264711,2.146062598
44295,2,493.7357976,104.5324402,39.11056845,288.227602,14.36715902,84.27062046,51.30183071,-67.71638273,0.549930023,12.5836243,54.61887253,38.99996948,15.2,29,23.2,840,450,200,100,2.045229101,19.56401905,8.244640461,0.575026362,57.513112,11.59118627,35.72693373,0,20.77695249,34.43219779,12.5836243,3.151333434,7.625871752,0.523412986,44.66186132,0.203922483,1.35034166,0.049989332,12.08301647,2.145270611
