Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Remarks,Highest-From-Entry-To-Exit,Lowest-From-Entry-To-Exit
34,19-02-2018,,09:25:00,25195.5,,,,,19-02-2018,,15:19:00,25098.65,498,,,Exit Condition Met For Trade,25214.9,24824.55
34.1,19-02-2018,Monday,09:25:00,228.45,15,CE,25200,Sell,19-02-2018,Monday,15:19:00,124.25,1563,45.61173123,22-02-2018,Exit Condition Met For Trade,231.3,55.25
34.2,19-02-2018,Monday,09:25:00,217.4,15,PE,25200,Sell,19-02-2018,Monday,09:43:00,288.4,-1065,-32.65869365,22-02-2018,Stop Loss Hit,292.45,212.7
35,20-02-2018,,09:25:00,25024.45,,,,,20-02-2018,,14:53:00,24989.4,-1005,,,,25158.1,24973.05
35.1,20-02-2018,Tuesday,09:25:00,172.6,15,CE,25000,Sell,20-02-2018,Tuesday,10:12:00,233.6,-915,-35.34183082,22-02-2018,Stop Loss Hit,244.7,158.6
35.2,20-02-2018,Tuesday,09:25:00,174.15,15,PE,25000,Sell,20-02-2018,Tuesday,14:53:00,180.15,-90,-3.445305771,22-02-2018,Stop Loss Hit,185,105.15
36,21-02-2018,,09:25:00,24932.95,,,,,21-02-2018,,15:19:00,24945.95,702.75,,,Exit Condition Met For Trade,24971.95,24796.35
36.1,21-02-2018,Wednesday,09:25:00,152.85,15,CE,24900,Sell,21-02-2018,Wednesday,14:08:00,142.85,150,6.542361793,22-02-2018,Stop Loss Hit,157,67.6
36.2,21-02-2018,Wednesday,09:25:00,125.85,15,PE,24900,Sell,21-02-2018,Wednesday,15:19:00,89,552.75,29.28088995,22-02-2018,Exit Condition Met For Trade,196,80
37,22-02-2018,,09:25:00,24840.8,,,,,22-02-2018,,15:19:00,24945.85,918.75,,,Exit Condition Met For Trade,24987.05,24781.7
